veh_value,exposure,clm,numclaims,claimsize,veh_body,veh_age,gender,area,agecat,valcat
2.33,.476386036959866,1,1,457.269999504089,STNWG,3,F,C,5,1
1.27,.854209445584274,1,1,507.819999694824,UTE,3,M,D,4,1
1.24,.227241615331877,1,1,2743.03999328613,SEDAN,3,M,D,3,1
1.57,.843258042434172,1,1,557.689999580383,HBACK,2,F,C,3,1
2.53,.481861738531734,1,1,368.789999961853,STNWG,2,M,E,2,2
1.15,.284736481858602,1,1,31974.7698974609,HDTOP,4,M,F,3,1
.96,.186173853524451,1,1,2312.78999328613,SEDAN,3,F,B,1,1
1.45,.465434633810219,1,2,1240.37999916077,HBACK,2,F,A,2,1
.77,.941820670770539,1,2,3455.57999706268,HBACK,3,F,C,2,1
3,.591375770017748,1,1,353.769999980927,STNWG,3,F,F,3,2
.95,.457221081447642,1,1,200,SEDAN,4,F,B,5,1
.97,.438056125938203,1,2,1979.67999839783,HBACK,3,F,E,1,1
.83,.17522245037577,1,1,670.829999923706,HBACK,3,F,C,2,1
2.5,.224503764544352,1,1,353.769999980927,STNWG,2,F,C,3,1
1.35,.0848733744010701,1,1,1047.27181816101,HBACK,1,F,C,2,1
5.02,.520191649549815,1,1,9630.34997558594,COUPE,2,F,C,2,3
1.48,.0848733744005585,1,1,1452.71999359131,SEDAN,4,F,B,4,1
.8,.511978097186841,1,1,2690.81999969482,COUPE,4,M,B,2,1
1.35,.678986995204468,1,1,200,HBACK,2,F,A,2,1
1.71,.462696783022693,1,2,400,SEDAN,2,F,C,1,1
1.4,.1423682409295,1,1,1401.17999649048,HBACK,1,F,B,3,1
1.399,.114989733059303,1,1,231.629999160767,HBACK,1,F,C,4,1
.76,.750171115672856,1,1,5155.79998779297,STNWG,4,M,E,2,1
3.76,.260095824774908,1,1,200,STNWG,3,M,B,4,2
6.05,.848733744009223,1,1,994.069999694824,STNWG,1,M,B,6,3
2.53,.427104722792137,1,2,743.769999980927,HDTOP,1,F,C,3,2
1.88,.588637919230678,1,1,4882.88999938965,SEDAN,1,F,C,1,1
4.14,.43258042436355,1,1,9844.58999633789,STNWG,2,M,E,1,2
3.31,.553045859000122,1,1,1127.28999900818,SEDAN,1,F,B,3,2
2.81,.867898699514626,1,1,1494.15999984741,STNWG,3,M,A,4,2
1.76,.462696783022693,1,1,329.769996643066,HBACK,2,F,A,3,1
.75,.714579055434626,1,1,2273.86999511719,COUPE,4,F,D,4,1
1.57,.939082819983014,1,1,1943.42999649048,SEDAN,2,F,E,4,1
1.01,.380561259411081,1,1,9615.44497680664,HBACK,2,F,A,3,1
2.31,.1806981519494,1,1,502.449999809265,STNWG,3,M,C,4,1
5.5,.859685147159325,1,1,902.709999084473,SEDAN,2,F,C,4,3
1.82,.777549623540835,1,1,1296.58999633789,HBACK,2,F,C,1,1
2.09,.43258042436355,1,1,1811.81999969482,SEDAN,2,F,D,4,1
1.32,.246406570840918,1,1,200,SEDAN,3,F,B,4,1
1.09,.83230663928407,1,1,200,SEDAN,3,F,C,4,1
1.19,.752908966460382,1,1,353.769999980927,STNWG,4,F,A,2,1
3.43,.873374401089677,1,1,1722.43999862671,STNWG,3,M,F,4,2
5.43,.821355236133968,1,1,535.269999504089,COUPE,1,M,A,3,3
.82,.15605749486491,1,1,2957.03998565674,SEDAN,4,F,E,5,1
3.799,.908966461327509,1,2,1032.01999950409,SEDAN,1,M,E,4,2
1.73,.429842573579663,1,1,452,STNWG,3,M,F,2,1
3.71,.459958932237896,1,1,345,HDTOP,2,M,C,1,2
1.46,.555783709787647,1,1,2266.11999511719,HBACK,3,M,A,5,1
.96,.550308008210777,1,1,558.75,STNWG,4,M,E,4,1
1.41,.752908966460382,1,1,345,SEDAN,3,M,C,2,1
.69,.0191649555097797,1,1,3660.0899810791,HBACK,4,F,B,3,1
2.79,.585900068443152,1,1,634.109999656677,STNWG,2,M,B,3,2
.52,.41341546885451,1,1,200,HBACK,4,M,A,5,1
2.48,.459958932235168,1,1,200,PANVN,1,M,A,2,1
3.46,.83230663928407,1,1,369.14999961853,STNWG,2,M,C,4,2
.78,.933607118407963,1,1,725.939998626709,STNWG,4,F,B,3,1
1.42,.487337440107694,1,1,3981.22999572754,HBACK,1,M,B,1,1
2.66,.911704312107759,1,1,630.119999885559,STNWG,3,M,C,4,2
1.95,.936344969195488,1,1,1945.91999816895,STNWG,4,M,C,2,1
.85,.911704312107759,1,2,2317.68999862671,SEDAN,4,F,A,6,1
1.42,.911704312107759,1,1,353.769999980927,HBACK,3,F,B,2,1
3.3,.83230663928407,1,2,2499.11999893188,STNWG,2,M,E,5,2
1.01,.832306639282251,1,1,200,STNWG,4,F,C,2,1
2.84,.58863791923028,1,1,249.019999504089,SEDAN,1,F,C,2,2
.42,.213552361395671,1,1,200,HBACK,4,F,B,1,1
2.12,.862422997939575,1,1,390,STNWG,4,M,E,2,1
3.2,.585900068443152,1,1,2054.78999710083,SEDAN,2,M,A,1,2
3.4,.550308008212596,1,1,345,UTE,1,M,C,2,2
1.8,.123203285420061,1,1,668.709992408752,STNWG,3,F,C,3,1
2.06,.585900068443152,1,2,619.089999675751,SEDAN,2,M,C,4,1
.77,.54209445585002,1,1,415.909999847412,MIBUS,4,M,B,3,1
.9,.766598220390733,1,1,849.759998321533,HBACK,3,M,C,4,1
1.36,.65982203969179,1,1,200,SEDAN,2,F,A,4,1
1.61,.583162217655627,1,2,962.789999008179,SEDAN,2,M,A,4,1
4.64,.0876112251876862,1,1,46868.1799316406,STNWG,1,M,F,1,2
1.03,.427104722792137,1,1,426.759999752045,HBACK,3,F,C,5,1
.88,.498288843256489,1,1,353.769999980927,STNWG,4,F,D,1,1
1.67,.821355236133968,1,1,200,SEDAN,2,F,B,1,1
2.15,.843258042434172,1,1,2292.61999511719,HBACK,3,M,B,2,1
1.399,.862422997939575,1,1,1259.18999862671,HBACK,1,F,A,1,1
1.82,.648870636548963,1,1,1620.81999969482,HBACK,2,F,C,4,1
2.2,.210814510608316,1,1,360.439998626709,SEDAN,1,F,B,2,1
.39,.347707049964811,1,1,200,SEDAN,4,M,C,4,1
.38,.350444900752336,1,1,400,HBACK,4,F,D,4,1
.69,.177960301161875,1,1,2022.29999923706,SEDAN,4,F,D,3,1
.85,.651608487336489,1,1,367.729999542236,HBACK,4,F,B,3,1
1.25,.829568788496545,1,1,1929.57999801636,STNWG,4,M,C,4,1
2.55,.427104722792137,1,1,554.549999237061,STNWG,3,F,A,4,2
1.91,.9993155373013,1,1,1400.67999649048,STNWG,4,M,E,2,1
2.17,.829568788496545,1,1,684.159999847412,SEDAN,2,F,C,3,1
2.52,.9993155373013,1,1,390,TRUCK,3,M,E,3,2
.73,.840520191646647,1,1,1189.359998703,HBACK,3,F,B,6,1
1.42,.840520191646647,1,1,200,SEDAN,3,M,C,4,1
.85,.840520191646647,1,1,200,HBACK,3,F,C,3,1
1.78,.626967830248361,1,1,17997.5599365234,TRUCK,1,F,F,3,1
1.57,.840520191646647,1,1,451.629999637604,HBACK,2,M,B,4,1
1.06,.501026694044015,1,1,2250.66998291016,SEDAN,3,M,B,2,1
2.45,.547570157425071,1,1,390,TRUCK,2,M,E,4,1
1.95,.829568788496545,1,2,1727.07999801636,HBACK,1,F,B,2,1
1.76,.511978097187239,1,1,1432.44999694824,HBACK,2,F,C,4,1
.36,.339493497601836,1,1,11041.0899963379,SEDAN,4,M,C,5,1
1.99,.83778234086094,1,1,2878.51999664307,SEDAN,2,F,A,6,1
5.09,.161533196440359,1,1,200,STNWG,2,M,D,4,3
.73,.837782340859121,1,1,312.5,SEDAN,4,F,C,5,1
4.47,.837782340859121,1,1,1392.64999771118,STNWG,1,M,E,2,2
2.84,.451745379876229,1,1,3773.94999694824,STNWG,3,M,E,2,2
2.48,.777549623540835,1,1,3528.2799987793,STNWG,2,F,E,3,1
2.199,.427104722792137,1,1,200,SEDAN,1,F,C,1,1
1.31,.427104722789863,1,1,11800.1899719238,HBACK,2,F,B,3,1
.99,.654346338124014,1,1,389.949999809265,STNWG,4,F,E,5,1
3.77,.309377138943091,1,1,4472.38262939453,STNWG,2,F,E,5,2
1.15,.553045859000122,1,1,3354.25999450684,UTE,4,M,F,2,1
.93,.344969199177285,1,1,3685.04999542236,HBACK,3,F,E,2,1
2.46,.134154688568742,1,1,200.004548512399,SEDAN,1,M,C,5,1
5.25,.451745379876229,1,1,200,STNWG,1,M,A,2,3
1.27,.344969199177285,1,1,4525.57998657227,SEDAN,3,M,B,2,1
1.21,.418891170427742,1,1,475,STNWG,3,F,F,2,1
.66,.777549623540835,1,1,430,SEDAN,4,F,C,4,1
1.74,.131416837781217,1,1,635.079999923706,SEDAN,2,F,A,3,1
1.24,.172484599588643,1,1,389.949999809265,HBACK,3,F,E,4,1
1.67,.424366872004612,1,1,3934.92999267578,STNWG,4,F,F,3,1
1.68,.383299110198209,1,1,353.769999980927,HBACK,1,F,C,4,1
1.49,.0629705681035944,1,1,11752.8999938965,SEDAN,2,F,C,3,1
1.45,.536618754274969,1,1,353.769999980927,SEDAN,3,M,B,3,1
1.41,.914442162895284,1,1,324.470001220703,STNWG,4,M,A,5,1
1.39,.49007529089431,1,1,1186.80999946594,HBACK,1,F,B,6,1
2.82,.0848733744005585,1,1,389.949999809265,STNWG,3,M,C,5,2
1.72,.999315537297662,1,1,1555.60999679565,MIBUS,3,F,C,4,1
5.236,.999315537294024,1,1,2403.39999389648,STNWG,1,F,A,2,3
1.45,.919917864470335,1,1,610,TRUCK,4,M,C,4,1
.62,.547570157425071,1,1,353.769999980927,SEDAN,4,M,C,3,1
3.35,.914442162897103,1,2,1677.58999967575,STNWG,2,M,B,5,2
1.52,.569472963717601,1,1,389.949999809265,STNWG,4,M,F,4,1
1.72,.865160848727101,1,1,362.859999656677,TRUCK,1,F,D,3,1
1.84,.777549623540835,1,1,3189.54999542236,STNWG,4,M,B,2,1
2.61,.876112251876805,1,1,3384.19999694824,STNWG,3,M,C,1,2
1.78,.750171115672856,1,1,990.379999160767,STNWG,2,M,A,3,1
.93,.914442162895284,1,1,353.769999980927,SEDAN,4,M,C,2,1
3.28,.840520191648579,1,1,200,STNWG,2,F,C,2,2
1.79,.826830937709019,1,1,1672.73999786377,STNWG,4,M,D,3,1
3.78,.826830937709019,1,1,1647.28999710083,STNWG,1,F,B,6,2
4.899,.197125256672734,1,1,2431.66999816895,STNWG,1,M,C,5,2
.81,.747433264884933,1,1,1077.25,HBACK,3,F,E,2,1
2.17,.826830937709019,1,1,3552.50999450684,SEDAN,2,F,C,4,1
4.23,.626967830248759,1,1,583.339999198914,STNWG,2,F,C,3,2
2.31,.424366872004612,1,1,390.909999847412,SEDAN,3,F,D,3,1
1.01,.509240246399315,1,1,369.14999961853,SEDAN,3,M,A,2,1
.99,.65708418891154,1,1,850.159999847412,COUPE,4,F,D,5,1
1.51,.65708418891154,1,1,616.909999847412,STNWG,4,F,C,4,1
1.11,.550308008212596,1,1,390,SEDAN,3,F,D,5,1
2.38,.501026694044413,1,1,8065.25999450684,HBACK,3,F,D,2,1
1.18,.449007529086884,1,1,8847.7799987793,STNWG,4,M,A,1,1
.93,.928131416832912,1,1,200,SEDAN,4,F,C,5,1
1.428,.77481177275331,1,1,200,HBACK,1,M,B,5,1
.72,.150581793292076,1,1,5278.41999816895,COUPE,4,F,A,2,1
1.54,.402464065708045,1,1,353.769999980927,SEDAN,3,F,C,4,1
.87,.424366872004612,1,2,3213.21999359131,UTE,4,M,C,4,1
1.67,.57494866529305,1,1,200,SEDAN,2,F,B,2,1
1.2,.544832306637545,1,1,353.799999713898,UTE,4,M,A,6,1
2.37,.83230663928407,1,1,200,STNWG,4,F,D,4,1
2.02,.544832306635954,1,1,18406.5899658203,STNWG,3,M,B,4,1
1.19,.999315537295843,1,1,1408.5299987793,STNWG,4,F,C,4,1
5.633,.583162217657446,1,1,237.020000457764,STNWG,1,F,A,2,3
1.39,.824093086922403,1,1,282.120000123978,HBACK,2,F,B,1,1
3.1,.213552361396069,1,1,200,HBACK,2,M,C,3,2
.71,.520191649549417,1,3,2453.2699970305,HBACK,4,F,B,2,1
2,.824093086921494,1,1,5664.00999450684,HBACK,1,M,C,4,1
1.48,.54209445585002,1,1,7433.26998901367,SEDAN,2,F,B,3,1
5.236,.9993155373013,1,1,484.859998703003,STNWG,1,F,A,3,3
3.4,.544832306637545,1,1,2558.38999938965,STNWG,3,M,A,4,2
.54,.54209445585002,1,1,200,SEDAN,4,F,C,2,1
.91,.54209445585002,1,1,1305.31999969482,HBACK,3,F,C,5,1
3.42,.681724845991994,1,1,408.949999809265,TRUCK,2,F,E,2,2
2.12,.692676249142096,1,1,849.509998321533,HBACK,1,F,A,4,1
1.5,.104038329910111,1,1,531.839999198914,UTE,4,F,D,2,1
.7,.54209445585002,1,1,525.51000213623,STNWG,4,M,C,4,1
1.91,.547570157421433,1,1,2372.26999664307,HDTOP,4,M,D,1,1
5.07,.824093086920584,1,1,1144.28999900818,STNWG,1,F,C,5,3
1.26,.77481177275331,1,1,11075.8799743652,HBACK,1,F,C,4,1
3.56,.175222450376168,1,1,200,HDTOP,2,F,C,4,2
1.88,.873374401087858,1,1,565.349999427795,HBACK,2,F,B,2,1
2.12,.208076659821018,1,1,2153.92999649048,STNWG,3,M,C,6,1
2.28,.837782340859121,1,1,200,HBACK,2,F,B,2,1
2.85,.572210814505524,1,1,6218.94999694824,STNWG,3,M,F,2,2
1.33,.440793976726127,1,1,200,SEDAN,2,F,C,6,1
2.92,.125941136207985,1,1,917.27272605896,STNWG,3,M,F,1,2
2.198,.429842573577844,1,1,200,HBACK,1,F,B,2,1
1.37,.443531827513652,1,1,200,HBACK,1,F,A,4,1
1.12,.240930869265867,1,1,214.420000016689,COUPE,3,M,A,4,1
2.65,.394250513345469,1,1,9535.07998657227,UTE,3,F,A,3,2
3.18,.156057494865308,1,1,677,TRUCK,3,F,E,3,2
1.47,.835044490069777,1,2,400,SEDAN,3,F,B,2,1
1.37,.495550992465724,1,1,435.909999847412,HBACK,1,M,A,1,1
3.81,.876112251877203,1,1,5222.2799987793,UTE,1,M,D,3,2
.86,.139630390141974,1,1,384.5,HBACK,3,M,C,3,1
1.4,.459958932235168,1,2,1563.80999851227,HBACK,2,M,E,2,1
.39,.536618754274969,1,1,2706.57999420166,SEDAN,4,M,A,3,1
.45,.804928131414499,1,1,440.449999809265,SEDAN,4,F,B,2,1
1.79,.539356605062494,1,1,1240.63999938965,SEDAN,3,F,A,5,1
.7,.172484599588643,1,1,2148.37999725342,COUPE,4,M,B,4,1
1.36,.536618754274969,1,1,1579.30999755859,SEDAN,3,F,B,4,1
3.02,.459958932235168,1,1,353.769999980927,PANVN,2,F,C,4,2
1.3,.459958932235168,1,1,521.619999885559,HBACK,2,F,A,5,1
3.93,.459958932235168,1,1,200,STNWG,2,M,C,4,2
1.91,.462696783022693,1,1,390,HDTOP,4,M,D,6,1
.24,.922655715257861,1,1,200,HBACK,4,F,B,5,1
1,.459958932235168,1,1,413.179999828339,HBACK,3,F,C,3,1
1.47,.536618754275423,1,1,200,SEDAN,2,F,C,2,1
1.41,.999315537299481,1,1,8879.85998535156,SEDAN,2,M,E,4,1
3.1,.813141683775029,1,1,389.949999809265,STNWG,3,M,E,2,2
1.13,.427104722792137,1,1,200,SEDAN,4,F,B,1,1
3.22,.922655715257861,1,1,1228.42001342773,SEDAN,1,M,B,5,2
.62,.446269678301178,1,1,367.729999542236,HBACK,4,M,A,2,1
1.15,.172484599588643,1,1,707.999999046326,HBACK,2,F,C,2,1
2.83,.835044490071596,1,1,6989.94999694824,STNWG,1,M,A,2,2
2.09,.922655715257861,1,1,200,SEDAN,2,M,B,3,1
3.44,.443531827513254,1,1,200,TRUCK,2,M,E,1,2
5.236,.772073921965784,1,1,20129.3899536133,STNWG,1,M,C,2,3
3.75,.77207392196442,1,1,500,HDTOP,2,M,F,1,2
3.96,.772073921965386,1,1,9185.89999389648,STNWG,2,M,B,2,2
2.2,.772073921965784,1,1,353.769999980927,HBACK,1,F,A,2,1
1.17,.821355236133968,1,1,2414.53999328613,STNWG,4,F,E,3,1
1.26,.528405201912392,1,1,3628.84999847412,HBACK,2,F,B,3,1
.83,.591375770017805,1,1,326.579987764359,SEDAN,3,M,B,2,1
2.18,.41341546885451,1,1,200,SEDAN,2,M,C,5,1
1.48,.922655715257861,1,1,1983.05999755859,HBACK,2,M,B,2,1
3.04,.851471594796749,1,1,660.289999961853,SEDAN,2,M,D,5,2
5.499,.772073921965784,1,1,390,STNWG,1,F,E,5,3
1.71,.41341546885451,1,1,369.14999961853,SEDAN,4,F,C,4,1
1.41,.821355236133968,1,1,2678.64999389648,COUPE,3,M,C,2,1
3.21,.758384668035433,1,1,1818.81999588013,STNWG,1,M,A,5,2
1.89,.281998631071474,1,2,13116.4099731445,HBACK,2,F,A,1,1
1.64,.602327173168305,1,1,1199.39999961853,SEDAN,3,M,B,3,1
2.05,.83230663928407,1,1,1331.40999984741,STNWG,3,F,B,6,1
1.37,.498288843256887,1,1,1362.34999847412,HBACK,1,F,A,4,1
2.07,.835044490071596,1,1,703.079999923706,SEDAN,2,M,C,5,1
5.83,.832306639287708,1,1,369.14999961853,STNWG,2,F,C,5,3
2.8,.498288843256887,1,1,511.819999694824,STNWG,2,F,E,4,2
1.93,.205338809033094,1,1,200,PANVN,1,M,D,6,1
.96,.832306639285434,1,2,1713.19999837875,UTE,4,M,E,5,1
1.46,.350444900751938,1,1,19041.3599853516,COUPE,4,M,E,4,1
1.87,.83230663928407,1,1,2917.5,SEDAN,2,F,C,5,1
1.92,.569472963717999,1,1,5551,HBACK,2,F,C,1,1
3.79,.829568788496545,1,1,364.679999828339,STNWG,2,M,C,4,2
1.28,.835044490071596,1,1,200,SEDAN,3,M,A,6,1
2.49,.169746748801117,1,1,349.25,STNWG,4,M,A,5,1
3.58,.835044490071596,1,1,471.119999885559,STNWG,2,F,E,5,2
4.7,.323066392880719,1,1,1231.65999984741,STNWG,1,F,C,2,2
.79,.569472963717999,1,1,350.289999961853,COUPE,4,F,A,4,1
1.74,.164271047227885,1,1,353.769999980927,HBACK,2,F,B,3,1
1.81,.829568788496545,1,1,353.769999980927,SEDAN,2,F,C,3,1
2,.410677618067211,1,1,1135.74999809265,HBACK,1,F,C,3,1
1.43,.878850102664728,1,1,353.769999980927,HBACK,1,F,A,2,1
1.04,.83230663928407,1,1,1333.65999984741,HBACK,2,F,B,2,1
.88,.83230663928407,1,1,445.449999809265,UTE,4,M,B,6,1
1.71,.498288843256432,1,1,390,SEDAN,2,M,A,5,1
.5,.391512662557545,1,1,722.029993057251,HBACK,4,F,D,4,1
1.59,.41341546885451,1,1,413.179999828339,HDTOP,4,M,C,3,1
.79,.818617385345078,1,1,373.449996948242,SEDAN,3,F,A,3,1
3,.59958932238078,1,1,200,STNWG,3,F,A,5,2
3.399,.410677618066075,1,1,5342.62998962402,STNWG,1,F,D,2,2
.97,.41341546885451,1,1,200,UTE,4,F,C,2,1
1.41,.569472963717999,1,1,3154.56999969482,SEDAN,3,F,A,6,1
2.03,.829568788494726,1,2,682.829999923706,SEDAN,1,F,C,3,1
.89,.41341546885451,1,1,3695.61999511719,HBACK,3,M,C,4,1
1.99,.569472963717999,1,1,1317.44999694824,HDTOP,3,F,A,2,1
6.5,.501026694044413,1,1,200,COUPE,1,M,C,3,3
1.56,.741957563309882,1,1,396.999999046326,SEDAN,1,F,C,2,1
3.15,.169746748801117,1,1,916.559999465942,UTE,2,M,E,1,2
1.19,.917180013679172,1,1,1148,HBACK,2,M,C,1,1
.39,.826830937712657,1,2,848.449999809265,SEDAN,4,M,A,4,1
2.199,.41341546885451,1,1,646.349999427795,SEDAN,1,M,A,3,1
1.85,.785763175903412,1,1,1561.90999984741,HBACK,2,M,B,5,1
1.67,.558521560567897,1,1,1024.42999839783,HBACK,3,F,C,1,1
1.04,.169746748801117,1,1,200,UTE,4,M,B,3,1
3.83,.922655715256951,1,1,603.829999923706,STNWG,2,F,A,2,2
1.36,.810403832983866,1,2,400,HBACK,2,F,B,4,1
1.2,.8268309377072,1,1,500,UTE,4,M,B,5,1
2.05,.826830937709019,1,1,2983.05999755859,STNWG,3,F,F,4,1
3.05,.167008898013592,1,1,200,STNWG,1,F,C,4,2
1.17,.813141683771391,1,1,2577.80999755859,STNWG,4,F,C,2,1
2.31,.227241615330058,1,1,389.949999809265,STNWG,2,F,E,4,1
1.29,.410677618066984,1,1,3888.91999816895,SEDAN,3,F,C,6,1
2.13,.813141683771391,1,1,636.25,STNWG,2,F,A,1,1
3.97,.65982203969179,1,1,1398.14999771118,STNWG,2,M,C,5,2
.79,.498288843256887,1,1,554.779999732971,HBACK,3,F,C,3,1
13.9,.229979466117584,1,1,2136.58999633789,SEDAN,2,F,C,5,6
1.31,.813141683771391,1,1,200,HBACK,1,M,A,3,1
.91,.347707049964811,1,1,200,HBACK,4,F,C,5,1
2.099,.561259411357241,1,1,680.25,HBACK,1,F,A,3,1
1.09,.566735112930473,1,1,4380,SEDAN,3,F,E,2,1
.9,.91718001368281,1,1,200,SEDAN,3,M,C,6,1
1.53,.440793976726127,1,1,353.769999980927,UTE,2,M,B,5,1
5.98,.498288843256887,1,1,1746.78999710083,STNWG,1,F,A,3,3
1.52,.884325804239779,1,2,2010.07999801636,SEDAN,3,F,C,4,1
1.58,.558521560567897,1,1,200,SEDAN,3,F,A,5,1
1.07,.810403832983866,1,1,1018.66999816895,SEDAN,3,F,C,1,1
1.99,.202600958245966,1,1,1693.7799987793,HBACK,1,F,D,3,1
3.15,.410677618066984,1,1,369.179999828339,MCARA,3,M,A,3,2
.61,.624229979460836,1,1,201.089996993542,COUPE,4,F,B,5,1
1.29,.824093086925132,1,1,4325.56999206543,SEDAN,3,M,B,4,1
.34,.824093086921494,1,1,3122.56999969482,PANVN,4,F,C,3,1
7.46,.824093086921494,1,1,200,STNWG,1,M,C,6,3
1.02,.536618754274969,1,1,449.890007019043,SEDAN,3,F,E,4,1
2.3,.347707049962594,1,1,353.769999980927,STNWG,3,F,C,2,1
1.5,.0136892539356381,1,1,9052.99996948242,HBACK,2,M,C,1,1
1.53,.566735112930473,1,1,800.799999237061,HBACK,1,M,B,3,1
1.57,.167008898013592,1,1,200,SEDAN,2,F,B,4,1
1.26,.999315537297662,1,1,381.71000289917,HBACK,2,F,A,4,1
2.42,.336755646814709,1,1,1744.34999847412,STNWG,2,M,C,4,1
1.45,.572210814505127,1,1,353.769999980927,STNWG,3,M,A,3,1
3.57,.11772758384592,1,1,2133.26999664307,STNWG,3,F,F,4,2
4.11,.662559890479315,1,1,384.5,STNWG,2,F,B,3,2
1.29,.662559890479315,1,1,2303.96999359131,HBACK,2,M,C,5,1
1.09,.662559890479315,1,1,783.75,HBACK,3,F,C,4,1
4,.804928131412453,1,1,973.299999237061,STNWG,3,M,F,5,2
2.82,.336755646814709,1,1,498.5,STNWG,3,F,C,3,2
1.61,.336755646814254,1,1,353.769999980927,UTE,3,M,D,5,1
2.03,.558521560567897,1,1,1016.46999931335,MIBUS,4,F,C,4,1
5.236,.476386036960321,1,1,793.539999008179,STNWG,1,F,B,3,3
1.36,.903490759752458,1,1,1726.55999755859,SEDAN,3,F,A,3,1
2.23,.407939767279458,1,1,2417.49999237061,STNWG,3,F,D,3,1
1.37,.999315537297662,1,1,1336.5299949646,SEDAN,3,F,A,6,1
.38,.925393566045386,1,1,390,HBACK,4,F,D,4,1
.55,.925393566045386,1,1,1517.5299987793,HBACK,4,M,A,4,1
1.11,.0739219712522754,1,1,459.449999809265,SEDAN,3,M,C,3,1
1.65,.925393566045386,1,1,773.829999923706,SEDAN,2,F,D,5,1
1.93,.807665982203616,1,1,1026.18999862671,SEDAN,2,M,C,3,1
2.9,.407939767279458,1,1,1122.76999855042,STNWG,2,M,E,3,2
.72,.810403832983866,1,1,2478.91999816895,STNWG,4,F,C,3,1
1.68,.407939767279458,1,1,364.679999828339,HBACK,1,F,F,1,1
1.07,.999315537299481,1,1,278.64999961853,SEDAN,2,M,A,1,1
1.23,.810403832983866,1,1,2058.30999755859,SEDAN,3,F,D,4,1
1.42,.914442162895284,1,1,338.199999809265,SEDAN,3,M,D,6,1
1.29,.807665982203616,1,1,200,SEDAN,3,F,C,1,1
1.6,.221765913756826,1,1,223.5,HBACK,2,F,C,6,1
3.13,.407939767279458,1,1,850.829999923706,STNWG,1,F,A,1,2
1.02,.0492813141682404,1,1,200,HBACK,4,F,C,4,1
.97,.533880903487443,1,1,2889.20999908447,SEDAN,3,F,E,6,1
1.88,.533880903487045,1,1,289.089999914169,SEDAN,1,F,B,4,1
3.53,.224503764544352,1,2,1895.6799993515,STNWG,2,M,F,2,2
1.51,.465434633810219,1,1,611.449999809265,SEDAN,3,F,D,5,1
1.78,.533880903490171,1,1,2449.84999847412,MIBUS,4,M,B,3,1
.71,.555783709784009,1,1,3318.68999481201,STNWG,4,M,B,2,1
2.14,.807665982203616,1,1,4539.85998535156,MIBUS,4,F,C,2,1
2.77,.440793976726127,1,1,20545.0999145508,MIBUS,3,M,B,3,2
2.47,.462696783022693,1,1,757.019998550415,STNWG,2,M,D,2,1
3.15,.249144421628444,1,1,353.769999980927,STNWG,3,F,E,3,2
.6,.334017796026785,1,1,200,SEDAN,4,M,A,1,1
.83,.0164271047227089,1,1,204.239998221397,HBACK,3,F,C,4,1
1.15,.558521560567897,1,1,200,SEDAN,3,F,B,5,1
2.32,.569472963721637,1,1,1214.54999923706,SEDAN,2,F,E,3,1
2.38,.492813141681438,1,1,2107.04999923706,SEDAN,1,F,B,2,1
.84,.405201916491933,1,1,1067.5299987793,HBACK,3,F,D,6,1
1.98,.405201916491933,1,1,353.769999980927,UTE,3,F,E,1,1
1.28,.399726214920122,1,1,397.729999542236,HBACK,3,M,B,2,1
4.17,.741957563304823,1,1,469.5,STNWG,2,M,C,4,2
4.54,.344969199177285,1,1,353.769999980927,STNWG,1,F,C,5,2
4.6,.191649555097683,1,1,360.489999771118,STNWG,1,F,C,2,2
1.64,.41341546885451,1,1,663.41999912262,SEDAN,3,F,C,4,1
.96,.780287474328361,1,1,1340.15999984741,STNWG,4,F,C,3,1
1.34,.588637919230678,1,1,1378.40999984741,STNWG,4,M,D,4,1
3.64,.815879534558917,1,1,452.05999994278,STNWG,2,F,E,4,2
2.64,.421629021217086,1,1,1156.61999893188,SEDAN,2,M,C,4,2
1.69,.815879534558917,1,1,1684.56999969482,SEDAN,2,M,B,4,1
2.34,.821355236133968,1,1,1021.62999916077,UTE,3,F,F,4,1
2.78,.438056125938601,1,1,353.769999980927,TRUCK,3,M,A,4,2
1.85,.821355236137606,1,2,951.929996490479,SEDAN,2,M,A,4,1
1.79,.821355236133968,1,1,3160.01999664307,SEDAN,2,M,C,4,1
1.5,.533880903487443,1,1,376.14999961853,HBACK,1,M,B,6,1
2.26,.427104722792137,1,1,1216.80001831055,SEDAN,2,M,A,2,1
1.32,.668035592053002,1,1,400,STNWG,4,M,D,2,1
.61,.999315537297662,1,1,453.719999790192,PANVN,4,M,B,3,1
1.61,.555783709786738,1,1,3353.2799987793,SEDAN,2,F,B,4,1
3.22,.331279945241477,1,1,1065.54999923706,STNWG,3,F,B,4,2
3.04,.670773442841892,1,1,390,TRUCK,3,M,E,2,2
.39,.125941136207587,1,1,4059.56999206543,SEDAN,4,M,C,3,1
.66,.668035592058004,1,1,353.769999980927,STNWG,4,M,B,4,1
1.41,.911704312107759,1,1,2361.98999786377,SEDAN,2,M,B,5,1
1.3,.908966461327509,1,1,810.049995422363,HBACK,2,F,B,2,1
1.1,.810403832983866,1,1,200,SEDAN,3,F,D,4,1
2.17,.804928131412453,1,1,1556.16999816895,SEDAN,2,F,E,3,1
1.64,.219028062969301,1,1,1067.26999664307,UTE,3,M,E,4,1
